threshold,event_level_recall,event_level_precision,frame_level_precision,avg_detection_delay_frames,avg_latency_ms
0.1,0.7361111111111112,0.48623853211009177,0.5141260805397427,10.79245283018868,87.84086174721439
0.15,0.6944444444444444,0.4716981132075472,0.5289024104844372,11.0,87.7810752298292
0.2,0.6805555555555556,0.4803921568627451,0.5366591080876795,12.285714285714286,87.97547529190138
0.25,0.6805555555555556,0.5104166666666666,0.5416998671978752,15.16326530612245,86.79195666317655
0.3,0.6944444444444444,0.5263157894736842,0.5476487723678735,15.5,86.7348659128112
0.35,0.6527777777777778,0.5164835164835165,0.5533294897665033,12.829787234042554,86.93707349490396
0.4,0.6388888888888888,0.5287356321839081,0.5579009959863238,13.23913043478261,86.11394400903265
0.45,0.6111111111111112,0.5238095238095238,0.5688259109311741,12.636363636363637,81.48203284928688
0.5,0.6111111111111112,0.5301204819277109,0.5743614613643712,13.181818181818182,80.08833779200982
0.55,0.6111111111111112,0.5301204819277109,0.5843871185297589,15.545454545454545,81.69640671438185
0.6,0.5972222222222222,0.524390243902439,0.5919902063658622,13.813953488372093,80.24762161451473
0.65,0.5972222222222222,0.5308641975308642,0.5993805793404992,13.906976744186046,80.1164005812201
0.7,0.5972222222222222,0.5512820512820513,0.6039923954372624,13.162790697674419,81.94317272640798
0.75,0.5972222222222222,0.581081081081081,0.6062738789463101,12.418604651162791,87.69663090252212
0.8,0.5972222222222222,0.589041095890411,0.6101331043366252,14.279069767441861,87.79963137167601
0.85,0.5694444444444444,0.5857142857142857,0.609050618147889,11.926829268292684,84.42807699738752
0.9,0.5416666666666666,0.6,0.6223978919631094,13.461538461538462,80.48230684756813
