consecutive_frames,event_level_recall,event_level_precision,frame_level_precision,avg_detection_delay_frames,avg_latency_ms
1,0.4861111111111111,0.2517985611510791,0.38968498884781083,-14.285714285714286,0.5680291363513047
3,0.4861111111111111,0.25735294117647056,0.3901253675901563,-14.8,0.5588689462706117
5,0.5,0.2647058823529412,0.39065730935522275,-11.916666666666666,0.5434934385035798
10,0.5277777777777778,0.2814814814814815,0.3919241437141198,-6.0,0.5522916788026303
15,0.5555555555555556,0.2962962962962963,0.392916362671619,-2.925,0.5650625561255131
30,0.5833333333333334,0.3181818181818182,0.39593069235746636,8.476190476190476,0.5768473702887115
