threshold,event_level_recall,event_level_precision,frame_level_precision,avg_detection_delay_frames,avg_latency_ms
0.5,0.3194444444444444,0.2875,0.23917241379310344,-12.782608695652174,0.5431880219403843
0.55,0.3611111111111111,0.2988505747126437,0.27116394483236195,-17.576923076923077,0.5342563059553048
0.6,0.3333333333333333,0.2696629213483146,0.29890619486869296,-19.25,0.5196135208777138
0.65,0.3055555555555556,0.2391304347826087,0.3158186864014801,-11.681818181818182,0.5559636629272526
0.7,0.375,0.25961538461538464,0.32375604022463106,-2.7777777777777777,0.5368813515524858
0.75,0.4722222222222222,0.2905982905982906,0.3352489651569345,-3.5,0.5553519865774968
0.8,0.5138888888888888,0.29365079365079366,0.3535605731654364,-0.7027027027027027,0.5619236663580728
0.85,0.5,0.2647058823529412,0.39065730935522275,-11.916666666666666,0.5567289391649479
0.9,0.19444444444444445,0.09722222222222222,0.38447870537422774,-11.285714285714286,0.5440731553245571
0.95,0.0,0.0,0.3672715212962524,,0.551091747597171
